Cliente,CNPJ,Produto,Qtd,Dt Emissao,Data Faturamento
W. NORDESTE,22101582000135,016157,40.0,20250311,20250312
W SUL DIST E IMP DE,08111865000137,016157,40.0,20250311,20250314
W.SP LOGISTICA,11247454000188,016157,40.0,20250311,20250321
LM MOTO,70963418000341,016157,40.0,20250312,20250319
W. NORTE,51050054000364,016157,40.0,20250331,20250403
MB DISTRIBUIDORA,06752049000268,016157,80.0,20250311,20250314
W. NORDESTE,22101582000135,016159,20.0,20250311,20250312
W.CO LOGISTICA EM DU,19246547000108,016159,20.0,20250311,20250318
LM MOTO,70963418000341,016159,40.0,20250312,20250319
W. NORTE,51050054000364,016159,20.0,20250312,20250319
W SUL DIST E IMP DE,08111865000137,016159,40.0,20250311,20250314
W.SP LOGISTICA,11247454000188,016159,60.0,20250311,20250321
